UNITID,CONTROL,INSTNM,ADMIN_TYPE,CIPCODE,CIPDESC,CREDLEV,POSTGRAD,EARN_MDN_HI_1YR,SALARY_GT_40
100654,Public,Alabama A & M University,1,110,Food Science and Technology.,5,1,52107,1
100654,Public,Alabama A & M University,1,1002,Audiovisual Communications Technologies/Technicians.,3,0,25194,0
100654,Public,Alabama A & M University,1,1101,"Computer and Information Sciences, General.",3,0,67101,1
100654,Public,Alabama A & M University,1,1101,"Computer and Information Sciences, General.",5,1,47666,1
100654,Public,Alabama A & M University,1,1304,Educational Administration and Supervision.,5,1,52941,1
100654,Public,Alabama A & M University,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,0,37208,0
100654,Public,Alabama A & M University,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,1,45940,1
100654,Public,Alabama A & M University,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,0,28816,0
100654,Public,Alabama A & M University,1,1408,Civil Engineering.,3,0,47260,1
100654,Public,Alabama A & M University,1,1410,"Electrical, Electronics and Communications Engineering.",3,0,69338,1
100654,Public,Alabama A & M University,1,1419,Mechanical Engineering.,3,0,53358,1
100654,Public,Alabama A & M University,1,1510,Construction Engineering Technologies.,3,0,50465,1
100654,Public,Alabama A & M University,1,1901,"Family and Consumer Sciences/Human Sciences, General.",5,1,37208,0
100654,Public,Alabama A & M University,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,0,26519,0
100654,Public,Alabama A & M University,1,2601,"Biology, General.",3,0,23207,0
100654,Public,Alabama A & M University,1,2601,"Biology, General.",5,1,36132,0
100654,Public,Alabama A & M University,1,3105,Health and Physical Education/Fitness.,5,1,37568,0
100654,Public,Alabama A & M University,1,4201,"Psychology, General.",3,0,24615,0
100654,Public,Alabama A & M University,1,4228,"Clinical, Counseling and Applied Psychology.",5,1,33535,0
100654,Public,Alabama A & M University,1,4301,Criminal Justice and Corrections.,3,0,24267,0
100654,Public,Alabama A & M University,1,4407,Social Work.,3,0,25194,0
100654,Public,Alabama A & M University,1,4407,Social Work.,5,1,38065,0
100654,Public,Alabama A & M University,1,5102,Communication Disorders Sciences and Services.,5,1,50439,1
100654,Public,Alabama A & M University,1,5202,"Business Administration, Management and Operations.",3,0,41087,1
100654,Public,Alabama A & M University,1,5202,"Business Administration, Management and Operations.",5,1,40737,1
100654,Public,Alabama A & M University,1,5203,Accounting and Related Services.,3,0,39909,0
100654,Public,Alabama A & M University,1,5208,Finance and Financial Management Services.,3,0,35060,0
100663,Public,University of Alabama at Birmingham,1,901,Communication and Media Studies.,3,0,31547,0
100663,Public,University of Alabama at Birmingham,1,901,Communication and Media Studies.,5,1,34704,0
100663,Public,University of Alabama at Birmingham,1,1101,"Computer and Information Sciences, General.",3,0,57318,1
100663,Public,University of Alabama at Birmingham,1,1301,"Education, General.",8,1,55036,1
100663,Public,University of Alabama at Birmingham,1,1304,Educational Administration and Supervision.,5,1,55693,1
100663,Public,University of Alabama at Birmingham,1,1304,Educational Administration and Supervision.,6,1,90146,1
100663,Public,University of Alabama at Birmingham,1,1304,Educational Administration and Supervision.,8,1,58402,1
100663,Public,University of Alabama at Birmingham,1,1310,Special Education and Teaching.,5,1,44418,1
100663,Public,University of Alabama at Birmingham,1,1311,Student Counseling and Personnel Services.,5,1,36221,0
100663,Public,University of Alabama at Birmingham,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,0,32678,0
100663,Public,University of Alabama at Birmingham,1,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5,1,42347,1
100663,Public,University of Alabama at Birmingham,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,0,28515,0
100663,Public,University of Alabama at Birmingham,1,1313,"Teacher Education and Professional Development, Specific Subject Areas.",5,1,44468,1
100663,Public,University of Alabama at Birmingham,1,1314,Teaching English or French as a Second or Foreign Language.,5,1,46018,1
100663,Public,University of Alabama at Birmingham,1,1401,"Engineering, General.",5,1,90334,1
100663,Public,University of Alabama at Birmingham,1,1405,Biomedical/Medical Engineering.,3,0,33993,0
100663,Public,University of Alabama at Birmingham,1,1408,Civil Engineering.,3,0,55964,1
100663,Public,University of Alabama at Birmingham,1,1410,"Electrical, Electronics and Communications Engineering.",3,0,72134,1
100663,Public,University of Alabama at Birmingham,1,1418,Materials Engineering,3,0,59124,1
100663,Public,University of Alabama at Birmingham,1,1419,Mechanical Engineering.,3,0,64493,1
100663,Public,University of Alabama at Birmingham,1,2301,"English Language and Literature, General.",3,0,30949,0
100663,Public,University of Alabama at Birmingham,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,0,32569,0
100663,Public,University of Alabama at Birmingham,1,2601,"Biology, General.",3,0,27907,0
100663,Public,University of Alabama at Birmingham,1,2601,"Biology, General.",5,1,18154,0
